test_id	target_mass	visible_mass	intensity	width	mass_shift
test101	44.4536250999663	44.2814673355315	689873779.146001	0.638496554177254	0.172157764434814
test102	44.4536250999663	44.3493938536849	693832025.607116	0.750235832761973	0.104231246281415
test103	44.4536250999663	44.552775504766	717022260.464728	0.722161415312439	-0.0991504047997296
test104	44.4536250999663	44.5068013757002	734389693.639241	0.774766051117331	-0.0531762757338584
test105	44.4536250999663	44.3088774216827	695862421.486527	0.633596731442958	0.144747678283602
test106	44.4536250999663	44.3934336994309	718754935.381003	0.847474539652467	0.0601914005354047
test107	44.4536250999663	44.3931568259839	683317389.665172	0.76901222569868	0.0604682739824057
test108	44.4536250999663	44.5905098428484	651765816.961415	0.843332917429507	-0.136884742882103
test109	44.4536250999663	44.2552232593764	655815744.656138	0.721066909376532	0.198401840589941
test110	44.4536250999663	44.606140582962	672195882.117376	0.743721500970423	-0.152515482995659
test501	44.4536250999663	44.5502546160016	743253232.515417	0.740062927827239	-0.0966295160353184
test502	44.4536250999663	44.3963548275176	744592182.151973	0.53358598370105	0.057270272448659
test503	44.4536250999663	44.5030201786663	744404728.85035	0.61409360524267	-0.0493950787000358
test504	44.4536250999663	44.6253293663729	726153886.760585	0.629014385398477	-0.171704266406596
test505	44.4536250999663	44.4277670843061	718922147.434205	0.813017773348838	0.0258580156601965
test506	44.4536250999663	44.6054660299327	728641339.857131	0.724221279472113	-0.15184092996642
test507	44.4536250999663	44.5250901947264	700327549.735084	0.87215639539063	-0.0714650947600603
test508	44.4536250999663	44.3300726675894	740844182.483852	0.762934388499707	0.123552432376891
test509	44.4536250999663	44.5321375542786	708156641.735695	0.640440327115357	-0.0785124543122947
test510	44.4536250999663	44.3837263001595	732365745.143034	0.655306788254529	0.0698987998068333
test101	411.059174992144	410.924356567115	313879813.719541	0.836141372099519	0.134818425029516
test102	411.059174992144	411.148361488245	261688936.967403	0.703394412901253	-0.0891864961013198
test103	411.059174992144	411.236493462324	302078652.195632	0.510292876884341	-0.177318470180035
test104	411.059174992144	411.110982797854	252296615.182422	0.664929388463497	-0.0518078057095409
test105	411.059174992144	411.120738558471	303092220.891267	0.625002450123429	-0.061563566327095
test106	411.059174992144	411.216050830856	297175423.102453	0.649251845665276	-0.156875838711858
test107	411.059174992144	410.991591187473	291796386.195347	0.847351551707834	0.0675838046707213
test108	411.059174992144	411.116124627367	320156389.172189	0.637275345530361	-0.0569496352225542
test109	411.059174992144	411.24888754068	346524765.156209	0.628883156646043	-0.189712548535317
test110	411.059174992144	410.859445711784	323329793.591984	0.868826893717051	0.199729280360043
test501	411.059174992144	411.219519903511	296952797.519043	0.717497803363949	-0.160344911366701
test502	411.059174992144	411.169256549329	295614979.811944	0.821735484711826	-0.110081557184458
test503	411.059174992144	411.256403293274	328284676.000476	0.774512366298586	-0.197228301130235
test504	411.059174992144	411.130977952201	250560494.74515	0.626681610289961	-0.0718029600568116
test505	411.059174992144	410.873021652177	321192956.226878	0.570113866217434	0.186153339967132
test506	411.059174992144	410.913823090401	324562549.544498	0.838982164114714	0.145351901743561
test507	411.059174992144	411.193880730867	314534110.412933	0.891214440949261	-0.134705738723278
test508	411.059174992144	411.104478462227	315191658.516414	0.62638960396871	-0.045303470082581
test509	411.059174992144	411.203146049939	281919009.238482	0.664679293707013	-0.143971057794988
test510	411.059174992144	410.873050088435	295880686.235614	0.680812959000468	0.186124903708696
test101	585.713326641359	585.599934664648	51781808.6012267	0.806480388902128	0.113391976710409
test102	585.713326641359	585.896597895771	48147656.7266509	0.525107292924076	-0.18327125441283
test103	585.713326641359	585.754774572514	52476083.1473395	0.72098491108045	-0.0414479311555624
test104	585.713326641359	585.614318533521	51974794.8390432	0.743977620545775	0.0990081078372896
test105	585.713326641359	585.716514172033	54955066.0629757	0.655019018240273	-0.00318753067404032
test106	585.713326641359	585.878214622196	45634002.7088299	0.863583029713482	-0.164887980837375
test107	585.713326641359	585.861442690622	53284750.895109	0.75960423797369	-0.148116049263626
test108	585.713326641359	585.723233521171	45718555.9975915	0.590985063370317	-0.00990687981247901
test109	585.713326641359	585.855844606739	47155034.6841104	0.575406368356198	-0.142517965380102
test110	585.713326641359	585.603376926109	50366349.3390195	0.806831903941929	0.10994971524924
test501	585.713326641359	585.514323283918	48728967.0435712	0.787688405066729	0.199003357440233
test502	585.713326641359	585.554337284621	50297154.9192444	0.689057599101216	0.158989356737584
test503	585.713326641359	585.563540229667	48573602.6987433	0.548771400284022	0.149786411691457
test504	585.713326641359	585.829650183022	49925791.292917	0.658503446169198	-0.116323541663587
test505	585.713326641359	585.761494230852	47067254.8143193	0.646286025829613	-0.0481675894930959
test506	585.713326641359	585.736755454727	48767845.2953696	0.602228502929211	-0.0234288133680821
